Date;AMZN;NFLX;PFE;AAPL;NKE
16/06/2017;987.710022;152.380005;27.160761;33.920437;49.194656
19/06/2017;995.169983;153.399994;27.366713;34.890816;50.080360
20/06/2017;992.590027;152.050003;27.646807;34.573723;49.637512
21/06/2017;1002.229980;155.029999;27.910425;34.778755;50.629108
22/06/2017;1001.299988;154.889999;28.058710;34.721539;50.446194
23/06/2017;1003.739990;158.020004;28.149326;34.876507;50.879417
26/06/2017;993.979980;157.500000;28.042233;34.766838;51.293381
27/06/2017;976.780029;151.029999;27.819807;34.268524;50.975681
28/06/2017;990.330017;153.410004;27.803331;34.769218;51.370403
29/06/2017;975.929993;150.089996;27.704472;34.256607;51.187481
30/06/2017;968.000000;149.410004;27.671520;34.337669;56.800098
03/07/2017;953.659973;146.169998;27.860996;34.213696;56.463146
05/07/2017;971.400024;147.610001;27.712708;34.354362;55.413792
06/07/2017;965.140015;146.250000;27.366713;34.030106;55.028709
07/07/2017;978.760010;150.179993;27.473812;34.375809;55.818134
10/07/2017;996.469971;152.669998;27.523235;34.585625;56.540165
11/07/2017;994.130005;154.330002;27.325525;34.697689;56.010674
12/07/2017;1006.510010;158.750000;27.366713;34.747765;56.049194
13/07/2017;1000.630005;158.210007;27.416142;35.231762;55.779625
14/07/2017;1001.809998;161.119995;27.539715;35.534557;55.837376
17/07/2017;1010.039978;161.699997;27.391430;35.658535;55.635227
18/07/2017;1024.449951;183.600006;27.482046;35.782524;55.500443
19/07/2017;1026.869995;183.860001;27.696232;36.006630;55.615959
20/07/2017;1028.699951;183.600006;27.630331;35.844505;56.896374
21/07/2017;1025.670044;188.539993;27.580904;35.827812;57.714676
24/07/2017;1038.949951;187.910004;27.449099;36.261749;56.751968
25/07/2017;1039.869995;186.970001;27.267859;36.416725;57.175556
26/07/2017;1052.800049;189.080002;27.094858;36.588387;56.183960
27/07/2017;1046.000000;182.679993;27.185478;35.896961;55.981796
28/07/2017;1020.039978;184.039993;27.309048;35.644234;56.482399
31/07/2017;987.780029;181.660004;27.317287;35.460644;56.848232
